username,tweet,label,likes,retweets,device,location,timestamp
user_3423,What a wonderful moment,positive,1283,113,MacOS,UK,10-11-2023 13:35
user_9839,Never recommended,negative,1780,147,iPhone,UAE,15-04-2023 12:11
user_8696,What a wonderful moment,positive,1771,156,Web App,Singapore,02-02-2022 03:02
user_7843,I am going to work,neutral,912,476,Android,Canada,26-07-2022 01:42
user_6914,Terrible experience,negative,1822,246,Android,Singapore,25-01-2022 22:12
user_9975,Just sitting here,neutral,1001,303,MacOS,UK,24-04-2023 23:32
user_7724,I am going to work,neutral,1419,356,iPhone,Germany,02-04-2022 22:37
user_1955,I disliked this a lot,negative,40,155,Android,USA,02-07-2022 14:04
user_2390,This is great,positive,430,319,Web App,UAE,25-08-2023 03:34
user_7208,What a wonderful moment,positive,1986,151,Android,Singapore,20-06-2022 20:47
user_9651,It is raining outside,neutral,392,387,iPhone,UK,16-05-2023 14:09
user_2078,I hate this,negative,1857,370,MacOS,India,28-05-2023 15:04
user_6469,Working on something,neutral,1358,161,iPhone,UAE,27-12-2022 20:22
user_4892,Not happy at all,negative,940,393,Web App,USA,08-10-2022 01:27
user_3476,I disliked this a lot,negative,1149,97,Windows,Singapore,27-09-2022 16:20
user_2516,What a wonderful moment,positive,1064,204,MacOS,Canada,17-05-2023 21:25
user_9222,Highly recommended,positive,1905,108,Web App,Canada,28-05-2023 10:40
user_2035,Highly recommended,positive,75,255,Web App,UAE,30-05-2023 08:51
user_6887,Terrible experience,negative,401,284,Android,Canada,16-04-2023 17:48
user_1578,Super excited,positive,1910,240,iPhone,UAE,24-07-2022 03:27
user_9278,This made my day,positive,1427,2,iPhone,UK,06-03-2023 04:45
user_3483,This is a normal day,neutral,1364,220,iPhone,USA,05-12-2022 17:42
user_1025,I am reading a book,neutral,579,264,Windows,Germany,24-03-2023 19:50
user_7163,This made my day,positive,335,53,Windows,Singapore,13-01-2023 01:40
user_8654,Worst moment ever,negative,421,388,Web App,Australia,20-07-2022 06:18
user_4185,This is a normal day,neutral,941,312,Windows,India,16-06-2022 07:51
user_6948,This made my day,positive,1548,374,Web App,USA,26-05-2023 06:57
user_7404,Worst moment ever,negative,1882,118,Web App,USA,04-10-2023 01:03
user_3938,Just sitting here,neutral,400,440,Web App,UK,14-11-2022 14:37
user_4227,This is a normal day,neutral,1248,52,MacOS,USA,29-04-2022 02:36
user_2767,It is raining outside,neutral,908,115,Windows,UAE,25-12-2022 01:15
user_5553,Feeling sad today,negative,1478,224,Web App,Germany,14-11-2022 05:17
user_4384,Nothing much happening,neutral,1036,476,Web App,Canada,26-10-2022 20:54
user_4194,Feeling sad today,negative,134,244,MacOS,UK,24-06-2023 00:03
user_2745,I love this,positive,693,350,MacOS,Singapore,06-04-2023 06:47
user_2517,I disliked this a lot,negative,120,454,iPhone,India,20-06-2023 06:51
user_9887,Absolutely fantastic,positive,549,304,Windows,India,13-02-2022 08:20
user_8225,What a wonderful moment,positive,1372,318,iPhone,USA,09-06-2022 15:32
user_3167,Scrolling through my phone,neutral,1487,38,Android,UAE,22-07-2022 00:35
user_9158,Working on something,neutral,786,101,Windows,Germany,19-09-2022 13:03
user_6382,Scrolling through my phone,neutral,1025,430,Web App,Germany,26-03-2023 22:55
user_1980,I love this,positive,36,280,Web App,Germany,20-04-2022 23:21
user_5455,I saw a car today,neutral,1021,369,Web App,USA,04-07-2023 05:33
user_9995,I am going to work,neutral,343,88,MacOS,Australia,28-03-2022 05:25
user_4358,Absolutely horrible,negative,1180,80,Android,UK,07-02-2022 01:49
user_3972,This is great,positive,512,88,Web App,Singapore,20-12-2022 12:03
user_3658,Amazing experience,positive,1602,195,Android,Australia,21-04-2023 14:16
user_4693,Never recommended,negative,1500,82,iPhone,Australia,05-01-2022 07:20
user_4103,I love this,positive,1190,99,Web App,USA,25-03-2023 08:06
user_1275,I love this,positive,268,434,Windows,USA,01-10-2023 16:25
user_9020,Worst moment ever,negative,382,493,Android,Singapore,28-09-2023 10:19
user_4181,What a wonderful moment,positive,274,58,Web App,Singapore,28-06-2022 17:28
user_7079,It is raining outside,neutral,1681,68,Web App,USA,23-08-2022 13:35
user_3235,I saw a car today,neutral,1701,10,Android,Canada,17-02-2022 13:34
user_6660,What a wonderful moment,positive,1365,124,Windows,UAE,16-04-2022 20:51
user_5308,I saw a car today,neutral,1753,360,MacOS,UAE,23-04-2023 11:30
user_4927,Working on something,neutral,306,461,Web App,USA,16-10-2023 14:55
user_5116,I enjoyed this a lot,positive,357,23,Android,Singapore,27-05-2023 00:02
user_8412,This ruined my day,negative,1126,88,Web App,Germany,15-10-2023 02:18
user_7207,I disliked this a lot,negative,1575,25,MacOS,Canada,01-07-2023 18:31
user_2473,This is bad,negative,1310,394,iPhone,India,13-07-2023 11:59
user_2179,This is bad,negative,665,401,iPhone,Germany,29-05-2023 11:54
user_7789,Working on something,neutral,639,186,MacOS,Singapore,05-04-2023 09:09
user_9982,Amazing experience,positive,1919,131,Android,Australia,02-03-2023 13:17
user_8984,Scrolling through my phone,neutral,1892,261,Web App,UK,07-05-2023 14:18
user_9465,Absolutely fantastic,positive,1954,398,MacOS,USA,28-05-2023 06:51
user_8637,This made my day,positive,1291,357,Windows,UK,21-07-2023 07:50
user_8597,This ruined my day,negative,257,89,Web App,India,29-10-2023 18:39
user_7024,What a wonderful moment,positive,1169,205,MacOS,Germany,29-06-2022 19:22
user_1605,It is raining outside,neutral,342,263,Android,USA,09-05-2022 22:18
user_2941,Feeling sad today,negative,1537,8,Windows,USA,27-06-2022 14:08
user_9713,Highly recommended,positive,22,79,MacOS,Germany,29-10-2022 03:33
user_9648,Never recommended,negative,1041,319,iPhone,USA,13-01-2022 11:29
user_6722,It is raining outside,neutral,98,28,Web App,UK,21-08-2023 23:42
user_1897,Feeling sad today,negative,269,380,Android,India,06-03-2022 08:38
user_4673,Terrible experience,negative,1131,16,Web App,Canada,28-08-2022 19:04
user_8475,I am going to work,neutral,1038,190,iPhone,Germany,12-08-2023 11:42
user_4575,Absolutely horrible,negative,190,499,Android,India,23-07-2022 16:08
user_8802,Feeling sad today,negative,530,75,MacOS,UK,05-10-2023 06:54
user_6394,Working on something,neutral,93,147,Windows,Germany,27-09-2022 02:00
user_7592,Feeling sad today,negative,1037,176,Android,Canada,21-12-2022 18:40
user_4565,Working on something,neutral,426,348,MacOS,UK,06-01-2023 22:00
user_8504,I saw a car today,neutral,1023,218,Web App,Germany,18-01-2023 07:56
user_6472,I disliked this a lot,negative,1415,17,Android,Canada,05-01-2023 07:07
user_4088,Terrible experience,negative,797,83,MacOS,Australia,04-12-2022 10:09
user_3188,This is bad,negative,684,213,Android,Singapore,18-02-2022 12:40
user_5054,This ruined my day,negative,1769,20,MacOS,Germany,15-03-2023 04:43
user_9152,This is great,positive,218,223,Windows,Singapore,21-03-2023 07:22
user_9240,I am going to work,neutral,157,383,Windows,Germany,18-11-2022 09:48
user_6088,This ruined my day,negative,1365,173,Web App,Canada,07-04-2023 01:58
user_6856,Just sitting here,neutral,768,367,Windows,UK,21-12-2022 07:43
user_5406,This is a normal day,neutral,1040,318,Web App,USA,11-10-2023 13:45
user_4836,Absolutely horrible,negative,63,431,Android,UAE,07-06-2022 08:51
user_4649,This is bad,negative,1033,284,Android,UK,24-05-2023 21:29
user_1255,Absolutely horrible,negative,1741,232,Windows,Germany,06-01-2022 22:46
user_4819,Absolutely horrible,negative,955,498,Windows,USA,18-01-2022 03:19
user_9588,Super excited,positive,1493,40,Android,Canada,21-09-2022 16:33
user_7025,This is bad,negative,593,416,Windows,Germany,11-11-2023 05:46
user_7509,This ruined my day,negative,1277,221,iPhone,Germany,19-01-2023 00:21
user_6206,I saw a car today,neutral,1924,483,Web App,Canada,05-08-2022 14:20
user_9323,This made my day,positive,318,159,Android,Germany,15-09-2023 03:44
user_1312,I saw a car today,neutral,314,20,Android,Canada,10-05-2022 23:26
user_1869,Nothing much happening,neutral,873,141,Web App,UK,03-05-2022 22:47
user_4771,Nothing much happening,neutral,973,119,Android,USA,12-08-2023 15:00
user_9378,I am reading a book,neutral,489,258,Web App,India,04-12-2022 13:17
user_7382,This ruined my day,negative,482,76,Android,India,17-01-2023 18:09
user_3104,I hate this,negative,409,351,Android,UK,20-02-2022 23:24
user_7885,Scrolling through my phone,neutral,1727,418,Windows,Australia,29-09-2023 04:23
user_1339,Absolutely fantastic,positive,631,67,Windows,Canada,13-01-2023 10:05
user_7340,It is raining outside,neutral,1157,83,MacOS,Germany,26-06-2023 17:04
user_3932,I disliked this a lot,negative,1663,299,Android,Germany,27-03-2023 10:56
user_9821,Never recommended,negative,1717,230,MacOS,Canada,28-04-2022 00:00
user_4171,Nothing much happening,neutral,507,137,Windows,USA,23-05-2022 07:39
user_2570,Absolutely horrible,negative,1004,106,MacOS,UAE,28-08-2023 02:30
user_9225,Absolutely horrible,negative,1989,259,Web App,UAE,09-06-2022 17:40
user_1570,Never recommended,negative,197,458,iPhone,Australia,31-12-2022 00:29
user_4154,Terrible experience,negative,378,175,MacOS,Canada,12-11-2022 13:46
user_4484,I enjoyed this a lot,positive,184,459,Windows,Germany,10-09-2023 08:23
user_4056,I am reading a book,neutral,273,158,MacOS,India,22-11-2022 04:54
user_3641,This made my day,positive,446,391,Android,Singapore,12-02-2022 14:25
user_6791,Working on something,neutral,691,342,iPhone,Canada,13-02-2022 08:48
user_6788,Working on something,neutral,650,394,Android,Canada,13-11-2022 17:13
user_7144,Scrolling through my phone,neutral,292,7,MacOS,UAE,11-09-2022 14:38
user_8721,This is bad,negative,1985,327,Windows,UAE,21-08-2022 19:02
user_5423,This is great,positive,440,303,MacOS,UAE,14-08-2023 04:59
user_3414,This ruined my day,negative,627,429,Android,Germany,28-07-2022 07:12
user_5265,This is a normal day,neutral,800,310,Web App,Canada,10-02-2023 19:48
user_4833,I enjoyed this a lot,positive,834,11,MacOS,UAE,10-09-2023 21:05
user_6952,Nothing much happening,neutral,981,429,Web App,USA,30-06-2023 20:03
user_5564,I am reading a book,neutral,426,250,iPhone,India,10-09-2023 23:45
user_1515,Nothing much happening,neutral,1739,493,Windows,UK,21-05-2022 06:56
user_7160,Working on something,neutral,597,122,Windows,Germany,27-02-2023 16:59
user_5201,This is bad,negative,939,267,Web App,Germany,26-09-2023 01:02
user_7625,Just sitting here,neutral,199,10,Android,India,15-06-2023 22:14
user_4770,Feeling sad today,negative,1967,90,Android,Singapore,17-06-2023 10:25
user_3105,Scrolling through my phone,neutral,307,379,MacOS,USA,13-09-2022 15:23
user_5716,Terrible experience,negative,1988,376,MacOS,USA,09-10-2023 04:54
user_6532,Highly recommended,positive,1983,219,iPhone,USA,11-06-2023 16:33
user_3488,I hate this,negative,1712,240,MacOS,Australia,06-07-2023 15:00
user_4158,Working on something,neutral,1858,187,Windows,UK,14-06-2022 05:08
user_5654,I ate breakfast,neutral,1535,374,Android,USA,21-03-2023 12:50
user_7337,What a wonderful moment,positive,968,372,Web App,Canada,24-06-2022 19:26
user_3398,Scrolling through my phone,neutral,1548,406,Windows,USA,10-03-2023 16:15
user_8990,This is bad,negative,446,416,iPhone,Canada,26-01-2022 02:14
user_2994,This is great,positive,1015,341,MacOS,Singapore,17-10-2022 18:15
user_2148,Amazing experience,positive,143,119,MacOS,USA,03-01-2022 01:52
user_2996,Highly recommended,positive,133,191,Android,India,18-11-2023 17:50
user_5070,Not happy at all,negative,1502,151,Windows,Canada,11-05-2022 21:21
user_4481,I enjoyed this a lot,positive,627,23,iPhone,Germany,22-06-2023 00:04
user_8516,This is bad,negative,1820,115,iPhone,Singapore,23-03-2022 23:07
user_5043,I love this,positive,756,260,iPhone,UK,28-01-2022 20:29
user_2020,Absolutely horrible,negative,1398,467,Windows,Singapore,26-09-2022 15:37
user_6949,Scrolling through my phone,neutral,901,361,Windows,USA,23-08-2023 11:11
user_9148,I love this,positive,544,172,Web App,USA,07-06-2022 13:24
user_5130,It is raining outside,neutral,1902,118,Android,Australia,10-10-2022 18:45
user_9922,Feeling sad today,negative,1084,75,MacOS,Germany,24-07-2023 22:24
user_7051,Not happy at all,negative,1256,249,Android,USA,25-08-2022 19:10
user_3328,I enjoyed this a lot,positive,1087,281,Android,Singapore,05-05-2022 14:06
user_2371,Absolutely fantastic,positive,1515,423,Web App,India,27-02-2023 03:37
user_9228,Feeling sad today,negative,536,317,Web App,Canada,15-06-2023 19:59
user_9148,Highly recommended,positive,132,98,MacOS,India,21-09-2023 09:35
user_8499,Worst moment ever,negative,468,374,Windows,Singapore,17-07-2022 10:10
user_5593,Worst moment ever,negative,1484,274,MacOS,Canada,19-07-2022 09:33
user_9853,I am going to work,neutral,244,140,MacOS,Canada,03-11-2022 08:48
user_1850,Never recommended,negative,497,69,Web App,UK,15-07-2022 12:10
user_2092,Never recommended,negative,1942,143,Android,Singapore,22-03-2022 22:48
user_5166,It is raining outside,neutral,435,387,iPhone,Singapore,06-11-2023 00:31
user_2928,Not happy at all,negative,444,480,Web App,India,19-03-2023 01:49
user_1201,Worst moment ever,negative,749,321,Android,Germany,24-01-2023 16:44
user_8474,Absolutely horrible,negative,423,13,Web App,UK,16-09-2023 08:47
user_8677,Worst moment ever,negative,1850,211,iPhone,Australia,25-01-2023 06:08
user_2766,Absolutely horrible,negative,165,171,Web App,Germany,20-06-2023 08:27
user_4016,Feeling sad today,negative,1928,118,MacOS,UK,18-11-2023 02:59
user_4640,Super excited,positive,1071,371,iPhone,UK,13-11-2022 03:52
user_8761,Feeling sad today,negative,117,433,Windows,Germany,26-12-2022 09:32
user_9048,Scrolling through my phone,neutral,1158,313,Windows,Australia,07-10-2023 17:38
user_6372,What a wonderful moment,positive,1235,163,Web App,UAE,24-09-2023 04:14
user_9793,Feeling happy today,positive,1351,416,iPhone,India,06-07-2022 10:23
user_3731,I hate this,negative,1249,86,iPhone,Germany,23-05-2023 20:28
user_9070,Highly recommended,positive,858,32,Windows,UAE,16-01-2022 01:43
user_4848,I enjoyed this a lot,positive,777,57,iPhone,USA,04-10-2022 18:48
user_1637,I disliked this a lot,negative,34,355,Web App,Germany,12-09-2022 11:34
user_9467,Not happy at all,negative,1738,323,iPhone,UK,02-01-2022 15:24
user_1020,This ruined my day,negative,1247,223,Android,India,30-05-2023 20:32
user_3686,This is bad,negative,383,251,Windows,Australia,01-11-2023 00:41
user_3769,Amazing experience,positive,453,422,Windows,USA,05-08-2022 03:45
user_6673,This is a normal day,neutral,860,218,Android,Germany,24-01-2023 09:15
user_4258,Feeling happy today,positive,1936,121,Windows,India,05-07-2023 17:02
user_8691,I disliked this a lot,negative,1061,409,iPhone,USA,19-04-2022 02:21
user_9578,Not happy at all,negative,1547,75,Android,Germany,14-03-2022 13:11
user_6870,This is bad,negative,1664,398,iPhone,UK,30-10-2022 23:28
user_7397,This is bad,negative,542,126,MacOS,India,26-08-2023 14:12
user_3040,Absolutely fantastic,positive,1606,80,Android,Australia,04-07-2023 16:06
user_2486,Absolutely horrible,negative,1141,354,MacOS,Australia,18-01-2023 18:02
user_2521,Just sitting here,neutral,202,205,iPhone,UK,08-06-2022 12:16
user_4838,Never recommended,negative,1657,361,Web App,UAE,08-06-2022 02:25
user_8025,This is great,positive,473,250,MacOS,Singapore,12-04-2022 02:20
user_5333,Just sitting here,neutral,356,298,Windows,Singapore,07-03-2023 20:56
user_6785,I ate breakfast,neutral,1756,43,Android,USA,10-06-2022 21:35
user_7672,I am going to work,neutral,409,345,Web App,UAE,16-02-2023 08:19
user_9120,Scrolling through my phone,neutral,73,7,Windows,India,17-04-2023 13:36
user_7964,I hate this,negative,632,273,Android,Australia,31-03-2022 23:29
user_4016,This is bad,negative,1906,85,Windows,Singapore,14-06-2022 04:19
user_4765,This is bad,negative,948,40,Windows,USA,08-01-2022 16:46
user_9934,I disliked this a lot,negative,1280,207,Web App,Germany,05-09-2023 21:41
user_7939,Absolutely horrible,negative,10,73,Web App,UK,24-05-2023 07:14
user_3489,This is bad,negative,529,158,Windows,UAE,13-03-2023 01:30
user_2537,I enjoyed this a lot,positive,1017,327,iPhone,UK,29-07-2022 18:02
user_9120,It is raining outside,neutral,1411,422,iPhone,USA,16-11-2023 00:11
user_3704,This ruined my day,negative,805,47,MacOS,Singapore,25-10-2022 06:35
user_6275,Scrolling through my phone,neutral,1230,475,Android,UK,07-04-2022 16:48
user_8809,I love this,positive,1786,4,MacOS,India,08-01-2022 12:53
user_5959,Scrolling through my phone,neutral,1009,359,Android,UAE,16-06-2022 13:47
user_1686,Never recommended,negative,405,254,Web App,Australia,10-02-2022 17:20
user_5789,Not happy at all,negative,1645,477,Web App,UAE,28-06-2022 00:35
user_9571,I am reading a book,neutral,1884,246,MacOS,UAE,01-05-2022 21:27
user_5462,I love this,positive,1319,387,Windows,Australia,14-11-2022 21:52
user_2984,Super excited,positive,921,406,MacOS,UK,02-06-2023 10:16
user_9401,It is raining outside,neutral,447,38,Android,India,28-05-2023 05:46
user_4305,Super excited,positive,1816,332,Android,Canada,13-12-2022 06:24
user_5082,It is raining outside,neutral,557,363,Windows,Australia,18-11-2023 05:22
user_4000,This is a normal day,neutral,1808,462,iPhone,India,07-03-2023 07:55
user_6439,This made my day,positive,1555,190,Windows,Germany,19-09-2023 02:28
user_4400,I love this,positive,392,277,Android,UAE,01-11-2023 15:26
user_6637,Just sitting here,neutral,275,345,Android,UK,15-09-2022 16:10
user_6821,Absolutely horrible,negative,1477,197,Windows,Singapore,15-06-2022 07:11
user_6992,Amazing experience,positive,249,347,MacOS,Singapore,16-10-2023 19:05
user_9359,Super excited,positive,1526,52,MacOS,Germany,21-11-2023 17:39
user_3244,Absolutely fantastic,positive,1774,174,MacOS,India,15-04-2022 03:19
user_9525,I love this,positive,1214,474,MacOS,UK,21-04-2022 16:22
user_5854,I saw a car today,neutral,210,114,iPhone,USA,01-03-2022 21:46
user_8924,This ruined my day,negative,1386,147,Android,India,21-12-2022 01:40
user_2863,This made my day,positive,1113,154,iPhone,Canada,19-09-2023 00:24
user_3477,Just sitting here,neutral,1031,380,Windows,Singapore,28-05-2022 04:06
user_7301,Not happy at all,negative,1520,423,Web App,UK,20-11-2022 22:48
user_7300,I love this,positive,1628,195,Android,UK,22-06-2023 04:07
user_7206,I hate this,negative,1321,342,MacOS,Canada,18-09-2022 23:19
user_5169,I enjoyed this a lot,positive,117,186,iPhone,UK,02-03-2023 01:22
user_8327,What a wonderful moment,positive,6,345,Windows,UK,22-08-2023 22:15
